// p-mnist

***MIR
***CoPE

***Non-episodic | 0_mem, e_10, bs_16
S:5                                    | S:12                                   | S:39
0.8266,  0.8788,  0.9080,  0.9218,  0.0000 | 0.7873,  0.8775,  0.8970,  0.9211,  0.0000 | 0.8498,  0.8652,  0.9090,  0.9193,  0.0000
0.8269,  0.8629,  0.8863,  0.8971,  0.9209 | 0.8009,  0.8582,  0.8691,  0.9062,  0.9265 | 0.8392,  0.8436,  0.9011,  0.9057,  0.9255 

*** Episodic+Reptile | 0_mem, 5-ways, 5_step, 5k_iter
S:5                                    | S:12                                   | S:39
0.9351, 0.0000, 0.0000, 0.0000, 0.0000 | 0.9331, 0.0000, 0.0000, 0.0000, 0.0000 | 0.9325, 0.0000, 0.0000, 0.0000, 0.0000 
0.9046, 0.9455, 0.0000, 0.0000, 0.0000 | 0.9230, 0.9452, 0.0000, 0.0000, 0.0000 | 0.9128, 0.9438, 0.0000, 0.0000, 0.0000
0.8419, 0.9190, 0.9512, 0.0000, 0.0000 | 0.8716, 0.9300, 0.9488, 0.0000, 0.0000 | 0.8612, 0.9236, 0.9520, 0.0000, 0.0000 
0.8217, 0.8845, 0.9203, 0.9527, 0.0000 | 0.7492, 0.8916, 0.9285, 0.9538, 0.0000 | 0.7800, 0.9021, 0.9333, 0.9512, 0.0000
0.7997, 0.8693, 0.9039, 0.9451, 0.9546 | 0.6609, 0.8333, 0.8808, 0.9343, 0.9524 | 0.7668, 0.8879, 0.9140, 0.9369, 0.9547

mem: 10 pre_class
0.9337,  0.0000,  0.0000,  0.0000,  0.0000 | 0.9341,  0.0000,  0.0000,  0.0000,  0.0000 | 0.9328,  0.0000,  0.0000,  0.0000,  0.0000
0.9157,  0.9448,  0.0000,  0.0000,  0.0000 | 0.9127,  0.9489,  0.0000,  0.0000,  0.0000 | 0.9117,  0.9473,  0.0000,  0.0000,  0.0000
0.8911,  0.9225,  0.9513,  0.0000,  0.0000 | 0.9049,  0.9325,  0.9518,  0.0000,  0.0000 | 0.8961,  0.9343,  0.9533,  0.0000,  0.0000
0.8949,  0.8859,  0.9346,  0.9542,  0.0000 | 0.8839,  0.9073,  0.9403,  0.9533,  0.0000 | 0.8919,  0.9217,  0.9290,  0.9504,  0.0000 
0.8733,  0.8223,  0.8858,  0.9309,  0.9524 | 0.8649,  0.8482,  0.9151,  0.9279,  0.9555 | 0.8668,  0.8817,  0.8827,  0.9332,  0.9541


*** Episodic+PT | 0_mem, 5-ways, 20K_iter
S:5                                    | S:12                           | S:39
0.9281,  0.0000,  0.0000,  0.0000,  0.0000 | 0.9313, 0.0000, 0.0000, 0.0000, 0.0000 | 0.9300,  0.0000,  0.0000,  0.0000,  0.0000 
0.9133,  0.9341,  0.0000,  0.0000,  0.0000 | 0.9042, 0.9423, 0.0000, 0.0000, 0.0000 | 0.9054,  0.9406,  0.0000,  0.0000,  0.0000
0.8914,  0.9053,  0.9359,  0.0000,  0.0000 | 0.8601, 0.8954, 0.9397, 0.0000, 0.0000 | 0.8848,  0.9095,  0.9417,  0.0000,  0.0000 
0.8677,  0.8998,  0.9227,  0.9370,  0.0000 | 0.7450, 0.8932, 0.8919, 0.9435, 0.0000 | 0.8270,  0.8612,  0.9156,  0.9453,  0.0000
0.8276,  0.8659,  0.9051,  0.9226,  0.9405 | 0.7057, 0.8688, 0.8871, 0.9054, 0.9454 | 0.6837,  0.8314,  0.8663,  0.9216,  0.9472 

mem: 10 pre_class
0.9268,  0.0000,  0.0000,  0.0000,  0.0000 | 0.9242,  0.0000,  0.0000,  0.0000,  0.0000 | 0.9229,  0.0000,  0.0000,  0.0000,  0.0000 
0.9137,  0.9327,  0.0000,  0.0000,  0.0000 | 0.9020,  0.9360,  0.0000,  0.0000,  0.0000 | 0.9080,  0.9316,  0.0000,  0.0000,  0.0000 
0.8939,  0.9236,  0.9357,  0.0000,  0.0000 | 0.8880,  0.9194,  0.9360,  0.0000,  0.0000 | 0.8941,  0.9011,  0.9357,  0.0000,  0.0000
0.8782,  0.9127,  0.9144,  0.9379,  0.0000 | 0.8440,  0.8784,  0.9147,  0.9372,  0.0000 | 0.8749,  0.8805,  0.9209,  0.9390,  0.0000 
0.8582,  0.8883,  0.8905,  0.9125,  0.9419 | 0.8309,  0.8380,  0.9170,  0.9243,  0.9377 | 0.8511,  0.8587,  0.8941,  0.9196,  0.9430 
